,0
665,துளசி
666,ஆவாரம்பூ
667,அறிகுறி
668,மிளகாய்
669,வெள்ளரி
670,எள்ளுக்கா
671,ஓமத்தை
672,இஞ்சி
673,கோவை இலை
674,நுங்கு
675,முளை கீரை
676,பரட்டை
677,மாசிக்காய்
678,பூண்டு
679,வாதநாராயணன் கீரை
680,உருளை
681,மண்
682,புளித்தொக்கு
683,கைப்பிடி
684,பசலை
685,மாவிலங்கம்
686,உளுந்து கீரை
687,பூச்சி
688,சிட்டிகை
689,இலுப்பை மரப்
690,ரோஜா
691,அருகம்
692,உள்ளவர்
693,காவிக்கல்
694,குணம்
695,சின்னிக்
696,நிலாவரை இலை
697,வாழைத்தண்டு
698,தடவினால்
699,கறிவேப்பு
700,மருதம்பட்டை
701,நாவல் மரப்
702,நசுக்கி
703,மூக்கடைப்பு
704,பறங்கு
705,தன்றால்
706,மலை
707,கேழ்வரகு
708,காலிஃபிளவர்
709,நெய்
710,முள்ளிக்கீரை
711,நசித்து
712,இளந்தண்டை
713,வாழைக்கா
714,பகுதி
715,எலுமிச்சம் பழம்
716,அதிமதுரம்
717,ஆகாயத்தாமரை இலை
718,பாயில்
719,அருநெல்லிக்கா
720,முளை
721,கருமை
722,ஒடு
723,அக்ரகாரம்
724,கீரை
725,வற்று
726,மருதம் பட்டை
727,மூட்டம்
728,அகம்தி
729,குடல்
730,வலி
731,முள்ளங்கி கீரை
732,பாகற்காய்
733,கம்பளி
734,வெற்றிலையோடு
735,கள்ளை
736,நாரத்தங்கா
737,கரிசலாங்கண்ணி
738,அல்லிப்பூ
739,சாப்பிட்
740,இருவாட்சி இலை
741,மணலி
742,காய்ச்சி
743,பிஞ்சை
744,பொடுதலை
745,முருங்கை பட்டை
746,துளசசி
747,கனிகளை
748,பழம்
749,சளி
750,பருப்பையும்
751,அரை கீரை
752,தப்பிலி
753,வேகவைத்து
754,சூடு
755,கோழி
756,அன்னாூப்
757,முருங்கைக்கா
758,பூ
759,மருட்டி
760,பாதாம்
761,பிசின்
762,விதை பட்டை
763,கரி
764,ரத்தம்
765,௨ப்பு
766,துவிர்
767,புல்
768,குடித்துவம்
769,வில்வ பழம்
770,வேம்பம்
771,நாவல் பருப்பு
772,கோதுமை
773,ஈழத்தலரி
774,பாசிப் பருப்பு
775,வேர்க்கடலை
776,நாரத்தம் பழம்
777,இலந்தை இலை
778,யானை
779,முள்ளங்கி
780,பனங்கற்கண்டு
781,பூவரசு
782,சிறியாநங்கை
783,புண்ணாக்கு
784,மாதுளம்
785,செம்
786,ஒருநாள்
787,வற்றல்
788,தளர்ச்சி
789,சதை
790,எலிக்காதிலை
791,மகிழ மரப்
792,நாய்
793,சுக்கு
794,இலந்தை மரப்
795,எள்ளுப்பு
796,கொள்ளு
797,மாவு இலை
798,சிற்றீச்சம்
799,சித்தரம்தை
800,உட்
801,இலவம் விதை
802,வெள்ளரிக்கா
803,ஆவாரம் இலை
804,புண்கு
805,மாவு
806,வெந்தயக்
807,அகத்தி பூ
808,தான்றிக்காய்
809,மஞ்
810,பிரண்டை
811,பழத்து
812,கானாம்வாழை
813,புளியாரை
814,கிராம்புத்
815,திப்பிலி
816,ஆல்பகோடா
817,வற்றல் பருப்பு
818,அசோகம் மரப்பட்டை
819,கீழாநெல்லி
820,சாற்றை
821,பிரசவித்தா
822,வாயு
823,சாணாக்கிக்
824,கிழங்கை
825,விழுது
826,பனை
827,ஆலம்
828,உகா
829,செம்பருத்தி பூ
830,ரத்த
831,வலிமை
832,வயிற்று
833,பாகல்
834,சித்தரத்தை
835,குடைமிளகா
836,மருதம்
837,வன்னிக்
838,விழு
839,தேவதாரு
