,0,1,2,3,4,5,6,7,8,9,10
கட்டை,மொட்டை,பட்டை,பரட்டை,கட்டி,முட்டை,காட்டு,கட்டு,,,,
இளம்,இதம்,,,,,,,,,,
மிளகாய்ச்,காய்ச்சி,மிளகாயை,மிளகாய்,,,,,,,,
அக்ரூட் பருப்பு,துவரம் பருப்பு,வற்றல் பருப்பு,வெள்ளரி பருப்பு,,,,,,,,
தண்டு,தண்டை,பூண்டு,துண்டை,துண்டு,இரண்டு,தொண்டை,,,,,
ரணம்,,,,,,,,,,,
குப்பைமேனி கீரை,குப்பைமேனி,,,,,,,,,,
அத்தி இலை,துத்தி இலை,அவுரி இலை,உத்தாமணி இலை,அகத்தி பூ,,,,,,,
மாதுளம் பழம்,நாரத்தம் பழம்,,,,,,,,,,
லவங்கம் பட்டை,லவங்கப்பட்டை,,,,,,,,,,
ஆனை,பனை,ஆரை,,,,,,,,,
புதினா,புதினாச்,பகுதி,,,,,,,,,
பருப்பு பருப்பு,பாதாம் பருப்பு,பிஸ்தா பருப்பு,பாசிப் பருப்பு,அக்ரூட் பருப்பு,துவரம் பருப்பு,,,,,,
துவர்,துவிர்,,,,,,,,,,
பசலை கீரை,வேளை கீரை,முளை கீரை,மணலி கீரை,கீரை கீரை,அரை கீரை,செடி கீரை,,,,,
துயிலி,துவிசி,,,,,,,,,,
உதட்டு,ஆட்டு,தண்டு,காட்டு,சொட்டு,கட்டு,துண்டு,,,,,
விதை,விழுதை,,,,,,,,,,
மரம்து,நரம்பு,ஓமம்து,அகம்து,மருதம்,மாம்பு,,,,,,
தேயிலை,,,,,,,,,,,
கடலை,கடல்,காலை,,,,,,,,,
கொட்டை,மொட்டை,பட்டை,பரட்டை,கட்டி,முட்டை,கட்டை,காட்டு,சொட்டு,கட்டு,தொண்டை,
ஓமம்,ஓமம்து,,,,,,,,,,
பாகற்கா,பாகற்காய்,,,,,,,,,,
சதகுப்பு,கறுப்பு,சதகுப்பை,,,,,,,,,
வெற்றிலை,வெற்றிலையோடு,,,,,,,,,,
குளிர்,துவிர்,,,,,,,,,,
மிளகாய்வற்றலை,,,,,,,,,,,
முடக்கம்,,,,,,,,,,,
கீரையுடன்சு,,,,,,,,,,,
பப்பாளி,பப்பாளிச்,பப்பாளிப்,,,,,,,,,
படை,பனை,பசை,,,,,,,,,
கல்யாணமுருங்கை,,,,,,,,,,,
ஆளி,,,,,,,,,,,
இஞ்சம்,இஞ்சிச்,மஞ்சள்,இஞ்சி,,,,,,,,
வல்லாரைக்கீரை,,,,,,,,,,,
வெங்காயத்தாள்,,,,,,,,,,,
கல்,பல்,கம்,கடல்,கால்,,,,,,,
புரசம்,துவரம்,பாயசம்,,,,,,,,,
முகம்,அருகம்,தனமும்,மருதம்,,,,,,,,
நொய்,நாய்,நெய்,,,,,,,,,
தண்டு கீரை,பிரண்டை கீரை,,,,,,,,,,
வெல்லம்,பனைவெல்லம்,வில்வம்,வல்லார்,,,,,,,,
கடுகு,,,,,,,,,,,
தேங்காய்ப்பால்,,,,,,,,,,,
பாசிப்,பிசின்,பாயசம்,,,,,,,,,
வயில்,வில்வ,பாயில்,,,,,,,,,
மாவிலம்,வில்வம்,,,,,,,,,,
இராம்,இருமல்,,,,,,,,,,
துண்டை,தண்டை,முட்டை,தண்டு,ஆதொண்டை,துண்டு,தொண்டை,,,,,
மாக்கிக்,தைலமாக்கி,சாணாக்கிக்,,,,,,,,,
பப்பாளிக்,பப்பாளிச்,பப்பாளிப்,,,,,,,,,
செம்பருத்தி பருப்பு,செம்பருத்தி பூ,முந்திரி பருப்பு,,,,,,,,,
கராம்,கஷாயம்,இராம்,,,,,,,,,
பார்லி கீரை,பிரண்டை கீரை,,,,,,,,,,
இப்பிலி,திப்பிலி,,,,,,,,,,
மொட்டை,பட்டை,பரட்டை,முட்டை,கட்டை,சொட்டு,கொட்டை,தொண்டை,,,,
ஆடாதொடை இலை,,,,,,,,,,,
மாவை,மாவு,,,,,,,,,,
முட்டைக்கோஸை,,,,,,,,,,,
சாப்பிட்டுவர,சாப்பிட்,,,,,,,,,,
சரகம்,அசோகம்,அருகம்,,,,,,,,,
கொடிப்பசலை கீரை,குப்பைமேனி கீரை,,,,,,,,,,
வசம்பு,பாம்பு,வேப்பு,நரம்பு,சர்பு,சோம்பு,சோம்பை,செம்பு,மாம்பு,,,
வெங்காயத்தாளை,,,,,,,,,,,
தோல்,,,,,,,,,,,
சீர்,கீர்,,,,,,,,,,
கணு,,,,,,,,,,,
பட்டை,மொட்டை,பரட்டை,முட்டை,கட்டை,கொட்டை,பாவட்டை,,,,,
ஏலக்கா,,,,,,,,,,,
சடை,பசை,சதை,,,,,,,,,
ரை,அரை,,,,,,,,,,
வெள்ளரி பருப்பு,வற்றல் பருப்பு,நாவல் பருப்பு,அக்ரூட் பருப்பு,வெள்ளரி வேர்பு,துவரம் பருப்பு,முந்திரி பருப்பு,,,,,
மாம்பருப்பு,முளை பருப்பு,நாவல் பருப்பு,,,,,,,,,
பொன்னாவரைக்,பொன்னாவரைக் கீரை,,,,,,,,,,
வல்லார் இலை,ஆவாரம் இலை,,,,,,,,,,
